	mass_C
t	y	vy
0.417	3.381	0
0.434	3.370	-0.739
0.450	3.356	-0.841
0.467	3.342	-0.971
0.484	3.324	-1.169
0.501	3.303	-1.232
0.517	3.282	-1.398
0.534	3.257	-1.521
0.551	3.232	-1.511
0.567	3.206	-1.624
0.584	3.177	-1.692
0.601	3.150	-1.656
0.617	3.122	-1.771
0.634	3.091	-1.946
0.651	3.057	-1.965
0.667	3.025	-2.022
0.684	2.990	-2.121
0.701	2.954	-2.137
0.717	2.918	-2.322
0.734	2.877	-2.411
0.751	2.838	-2.291
0.767	2.800	-2.389
0.784	2.758	-2.417
0.801	2.720	-2.288
0.817	2.682	-2.473
0.834	2.637	-2.550
0.851	2.597	-2.379
0.868	2.558	-2.470
0.884	2.514	-2.594
0.901	2.471	-2.493
0.918	2.431	-2.549
0.934	2.386	-2.683
0.951	2.342	-2.595
0.968	2.300	-2.613
