	mass_D
t	y	vy
0.300	3.530	0
0.317	3.526	-0.368
0.334	3.517	-0.644
0.350	3.504	-0.814
0.367	3.490	-0.949
0.384	3.473	-1.187
0.400	3.451	-1.346
0.417	3.428	-1.520
0.434	3.400	-1.777
0.450	3.368	-1.921
0.467	3.336	-1.976
0.484	3.303	-2.085
0.501	3.266	-2.111
0.517	3.232	-2.004
0.534	3.199	-2.119
0.551	3.161	-2.212
0.567	3.126	-2.074
0.584	3.092	-2.134
0.601	3.054	-2.338
0.617	3.014	-2.355
0.634	2.976	-2.489
0.651	2.931	-2.697
0.667	2.886	-2.619
0.684	2.844	-2.697
0.701	2.796	-2.769
0.717	2.751	-2.654
0.734	2.707	-2.787
0.751	2.658	-2.788
0.767	2.614	-2.647
0.784	2.570	-2.716
0.801	2.524	-2.789
0.817	2.477	-2.713
0.834	2.433	-2.753
0.851	2.385	-2.901
0.868	2.336	-2.710
0.884	2.295	-2.750
0.901	2.245	-3.034
0.918	2.194	-2.919
