	mass_E
t	y	vy
0.167	3.372	0
0.184	3.363	-0.612
0.200	3.351	-0.821
0.217	3.336	-0.979
0.234	3.319	-1.186
0.250	3.296	-1.349
0.267	3.274	-1.353
0.284	3.251	-1.508
0.300	3.223	-1.629
0.317	3.197	-1.639
0.334	3.169	-1.763
0.350	3.138	-1.814
0.367	3.108	-1.876
0.384	3.075	-2.022
0.400	3.041	-2.046
0.417	3.007	-2.078
0.434	2.971	-2.301
0.450	2.930	-2.391
0.467	2.892	-2.382
0.484	2.851	-2.470
0.501	2.809	-2.505
0.517	2.767	-2.563
0.534	2.724	-2.663
0.551	2.678	-2.601
0.567	2.637	-2.570
0.584	2.593	-2.802
0.601	2.543	-2.820
0.617	2.499	-2.637
0.634	2.455	-2.810
0.651	2.405	-2.859
0.667	2.360	-2.682
0.684	2.315	-2.910
0.701	2.263	-2.956
0.717	2.217	-2.874
0.734	2.167	-3.036
0.751	2.115	-2.884
0.767	2.071	-2.602
0.784	2.029	-2.964
0.801	1.972	-3.232
0.817	1.921	-2.990
0.834	1.872	-2.986
0.851	1.821	-3.070
0.868	1.770	-2.959
0.884	1.722	-3.014
0.901	1.669	-3.182
0.918	1.616	-3.067
0.934	1.567	-3.156
0.951	1.511	-3.216
0.968	1.460	-3.019
0.984	1.410	-3.102
1.001	1.356	-3.196
1.018	1.304	-3.080
1.034	1.253	-3.183
1.051	1.197	-3.274
1.068	1.144	-3.196
1.084	1.091	-3.299
1.101	1.034	-3.431
1.118	0.976	-3.344
1.134	0.922	-3.385
